year,week,state,state_name,disease,cases,incidence_per_capita
1966,04,FL,FLORIDA,RUBELLA,21,0.34
1966,04,HI,HAWAII,RUBELLA,1,0.14
1966,04,IA,IOWA,RUBELLA,32,1.16
1966,04,ID,IDAHO,RUBELLA,1,0.15
1966,04,IL,ILLINOIS,RUBELLA,39,0.36
1966,04,IN,INDIANA,RUBELLA,15,0.3
1966,04,KY,KENTUCKY,RUBELLA,33,1.05
1966,04,MA,MASSACHUSETTS,RUBELLA,20,0.36
1966,04,MD,MARYLAND,RUBELLA,10,0.27
1966,04,ME,MAINE,RUBELLA,11,1.1
1966,04,MI,MICHIGAN,RUBELLA,44,0.52
1966,04,MN,MINNESOTA,RUBELLA,8,0.22
1966,04,MT,MONTANA,RUBELLA,9,1.27
1966,04,ND,NORTH DAKOTA,RUBELLA,4,0.62
1966,04,NH,NEW HAMPSHIRE,RUBELLA,2,0.29
1966,04,NY,NEW YORK,RUBELLA,41,0.23
1966,04,OR,OREGON,RUBELLA,30,1.52
1966,04,PA,PENNSYLVANIA,RUBELLA,1,0.01
1966,04,RI,RHODE ISLAND,RUBELLA,3,0.33
1966,04,TN,TENNESSEE,RUBELLA,76,1.99
1966,04,TX,TEXAS,RUBELLA,1,0.01
1966,04,UT,UTAH,RUBELLA,6,0.59
1966,04,VA,VIRGINIA,RUBELLA,5,0.11
1966,04,VT,VERMONT,RUBELLA,31,7.51
1966,04,WA,WASHINGTON,RUBELLA,89,2.91
1966,04,WI,WISCONSIN,RUBELLA,132,3.09
1966,04,WV,WEST VIRGINIA,RUBELLA,29,1.63
1966,05,AK,ALASKA,RUBELLA,8,2.95
1966,05,AZ,ARIZONA,RUBELLA,162,10.04
1966,05,CA,CALIFORNIA,RUBELLA,46,0.24
1966,05,CO,COLORADO,RUBELLA,9,0.45
1966,05,CT,CONNECTICUT,RUBELLA,72,2.48
1966,05,FL,FLORIDA,RUBELLA,17,0.28
1966,05,HI,HAWAII,RUBELLA,2,0.28
1966,05,IA,IOWA,RUBELLA,51,1.85
1966,05,IL,ILLINOIS,RUBELLA,39,0.36
1966,05,IN,INDIANA,RUBELLA,47,0.94
1966,05,KY,KENTUCKY,RUBELLA,15,0.48
1966,05,MA,MASSACHUSETTS,RUBELLA,102,1.84
1966,05,MD,MARYLAND,RUBELLA,5,0.14
1966,05,ME,MAINE,RUBELLA,5,0.5
1966,05,MI,MICHIGAN,RUBELLA,38,0.45
1966,05,MT,MONTANA,RUBELLA,15,2.12
1966,05,ND,NORTH DAKOTA,RUBELLA,10,1.55
1966,05,NY,NEW YORK,RUBELLA,43,0.24
1966,05,OR,OREGON,RUBELLA,44,2.23
1966,05,RI,RHODE ISLAND,RUBELLA,13,1.45
1966,05,SC,SOUTH CAROLINA,RUBELLA,1,0.04
1966,05,TN,TENNESSEE,RUBELLA,55,1.44
1966,05,VA,VIRGINIA,RUBELLA,14,0.31
1966,05,VT,VERMONT,RUBELLA,1,0.24
1966,05,WA,WASHINGTON,RUBELLA,150,4.91
1966,05,WI,WISCONSIN,RUBELLA,149,3.49
1966,05,WV,WEST VIRGINIA,RUBELLA,40,2.25
1966,05,WY,WYOMING,RUBELLA,1,0.31
1966,06,AK,ALASKA,RUBELLA,5,1.85
1966,06,AL,ALABAMA,RUBELLA,1,0.03
1966,06,AR,ARKANSAS,RUBELLA,1,0.05
1966,06,AZ,ARIZONA,RUBELLA,127,7.87
1966,06,CA,CALIFORNIA,RUBELLA,104,0.55
1966,06,CO,COLORADO,RUBELLA,13,0.65
1966,06,CT,CONNECTICUT,RUBELLA,44,1.52
1966,06,DE,DELAWARE,RUBELLA,3,0.58
1966,06,FL,FLORIDA,RUBELLA,11,0.18
1966,06,HI,HAWAII,RUBELLA,9,1.27
1966,06,IA,IOWA,RUBELLA,56,2.03
1966,06,ID,IDAHO,RUBELLA,56,8.13
1966,06,IL,ILLINOIS,RUBELLA,24,0.22
1966,06,IN,INDIANA,RUBELLA,31,0.62
1966,06,KY,KENTUCKY,RUBELLA,142,4.51
1966,06,MA,MASSACHUSETTS,RUBELLA,93,1.68
1966,06,MD,MARYLAND,RUBELLA,6,0.16
1966,06,ME,MAINE,RUBELLA,2,0.2
1966,06,MI,MICHIGAN,RUBELLA,117,1.37
1966,06,MN,MINNESOTA,RUBELLA,8,0.22
1966,06,MT,MONTANA,RUBELLA,3,0.42
1966,06,ND,NORTH DAKOTA,RUBELLA,8,1.24
1966,06,NH,NEW HAMPSHIRE,RUBELLA,5,0.73
1966,06,NY,NEW YORK,RUBELLA,76,0.43
1966,06,OH,OHIO,RUBELLA,29,0.28
1966,06,OR,OREGON,RUBELLA,28,1.42
1966,06,RI,RHODE ISLAND,RUBELLA,9,1
1966,06,SC,SOUTH CAROLINA,RUBELLA,1,0.04
1966,06,TN,TENNESSEE,RUBELLA,47,1.23
