year,week,state,state_name,disease,cases,incidence_per_capita
1968,03,MS,MISSISSIPPI,MUMPS,12,0.54
1968,03,MT,MONTANA,MUMPS,20,2.86
1968,03,ND,NORTH DAKOTA,MUMPS,83,13.37
1968,03,NE,NEBRASKA,MUMPS,10,0.68
1968,03,NH,NEW HAMPSHIRE,MUMPS,7,0.99
1968,03,NJ,NEW JERSEY,MUMPS,205,2.93
1968,03,NM,NEW MEXICO,MUMPS,49,4.93
1968,03,OH,OHIO,MUMPS,293,2.79
1968,03,OK,OKLAHOMA,MUMPS,3,0.12
1968,03,OR,OREGON,MUMPS,19,0.95
1968,03,RI,RHODE ISLAND,MUMPS,55,5.97
1968,03,SC,SOUTH CAROLINA,MUMPS,3,0.12
1968,03,TN,TENNESSEE,MUMPS,147,3.79
1968,03,TX,TEXAS,MUMPS,181,1.67
1968,03,UT,UTAH,MUMPS,2,0.19
1968,03,VA,VIRGINIA,MUMPS,101,2.22
1968,03,VT,VERMONT,MUMPS,57,13.26
1968,03,WA,WASHINGTON,MUMPS,258,7.89
1968,03,WI,WISCONSIN,MUMPS,786,18.09
1968,03,WV,WEST VIRGINIA,MUMPS,160,9.08
1968,03,WY,WYOMING,MUMPS,16,4.94
1968,04,AK,ALASKA,MUMPS,30,10.53
1968,04,AL,ALABAMA,MUMPS,29,0.84
1968,04,AZ,ARIZONA,MUMPS,27,1.61
1968,04,CA,CALIFORNIA,MUMPS,631,3.25
1968,04,CT,CONNECTICUT,MUMPS,93,3.14
1968,04,DC,DISTRICT OF COLUMBIA,MUMPS,9,1.16
1968,04,DE,DELAWARE,MUMPS,11,2.06
1968,04,FL,FLORIDA,MUMPS,46,0.72
1968,04,GA,GEORGIA,MUMPS,90,2.01
1968,04,HI,HAWAII,MUMPS,20,2.72
1968,04,IA,IOWA,MUMPS,297,10.6
1968,04,ID,IDAHO,MUMPS,14,2.01
1968,04,IL,ILLINOIS,MUMPS,176,1.6
1968,04,IN,INDIANA,MUMPS,85,1.67
1968,04,KY,KENTUCKY,MUMPS,38,1.19
1968,04,LA,LOUISIANA,MUMPS,1,0.03
1968,04,MA,MASSACHUSETTS,MUMPS,265,4.72
1968,04,MD,MARYLAND,MUMPS,21,0.55
1968,04,ME,MAINE,MUMPS,22,2.21
1968,04,MI,MICHIGAN,MUMPS,375,4.31
1968,04,MN,MINNESOTA,MUMPS,2,0.05
1968,04,MO,MISSOURI,MUMPS,1,0.02
1968,04,MS,MISSISSIPPI,MUMPS,40,1.8
1968,04,MT,MONTANA,MUMPS,18,2.57
1968,04,ND,NORTH DAKOTA,MUMPS,29,4.67
1968,04,NE,NEBRASKA,MUMPS,6,0.41
1968,04,NH,NEW HAMPSHIRE,MUMPS,4,0.56
1968,04,NJ,NEW JERSEY,MUMPS,222,3.17
1968,04,NM,NEW MEXICO,MUMPS,22,2.21
1968,04,OH,OHIO,MUMPS,75,0.71
1968,04,OK,OKLAHOMA,MUMPS,4,0.16
1968,04,OR,OREGON,MUMPS,40,2
1968,04,RI,RHODE ISLAND,MUMPS,53,5.75
1968,04,SC,SOUTH CAROLINA,MUMPS,1,0.04
1968,04,TN,TENNESSEE,MUMPS,186,4.8
1968,04,TX,TEXAS,MUMPS,285,2.63
1968,04,UT,UTAH,MUMPS,4,0.39
1968,04,VA,VIRGINIA,MUMPS,29,0.64
1968,04,VT,VERMONT,MUMPS,28,6.51
1968,04,WA,WASHINGTON,MUMPS,255,7.8
1968,04,WI,WISCONSIN,MUMPS,576,13.26
1968,04,WV,WEST VIRGINIA,MUMPS,116,6.58
1968,04,WY,WYOMING,MUMPS,19,5.86
1968,05,AK,ALASKA,MUMPS,6,2.11
1968,05,AL,ALABAMA,MUMPS,69,2
1968,05,AZ,ARIZONA,MUMPS,39,2.32
