year,week,state,state_name,disease,cases,incidence_per_capita
1928,03,MS,MISSISSIPPI,POLIO,0,0
1928,03,MT,MONTANA,POLIO,1,0.18
1928,03,NC,NORTH CAROLINA,POLIO,0,0
1928,03,ND,NORTH DAKOTA,POLIO,0,0
1928,03,NE,NEBRASKA,POLIO,0,0
1928,03,NJ,NEW JERSEY,POLIO,0,0
1928,03,NM,NEW MEXICO,POLIO,0,0
1928,03,NY,NEW YORK,POLIO,4,0.03
1928,03,OH,OHIO,POLIO,4,0.06
1928,03,OK,OKLAHOMA,POLIO,0,0
1928,03,OR,OREGON,POLIO,10,1.07
1928,03,PA,PENNSYLVANIA,POLIO,2,0.02
1928,03,RI,RHODE ISLAND,POLIO,0,0
1928,03,SC,SOUTH CAROLINA,POLIO,6,0.35
1928,03,SD,SOUTH DAKOTA,POLIO,0,0
1928,03,TN,TENNESSEE,POLIO,0,0
1928,03,TX,TEXAS,POLIO,0,0
1928,03,UT,UTAH,POLIO,0,0
1928,03,VT,VERMONT,POLIO,0,0
1928,03,WA,WASHINGTON,POLIO,2,0.13
1928,03,WI,WISCONSIN,POLIO,1,0.03
1928,03,WV,WEST VIRGINIA,POLIO,2,0.12
1928,03,WY,WYOMING,POLIO,0,0
1928,04,AL,ALABAMA,POLIO,0,0
1928,04,AR,ARKANSAS,POLIO,2,0.11
1928,04,AZ,ARIZONA,POLIO,1,0.24
1928,04,CA,CALIFORNIA,POLIO,4,0.07
1928,04,CO,COLORADO,POLIO,2,0.2
1928,04,CT,CONNECTICUT,POLIO,1,0.06
1928,04,DC,DISTRICT OF COLUMBIA,POLIO,0,0
1928,04,DE,DELAWARE,POLIO,0,0
1928,04,FL,FLORIDA,POLIO,0,0
1928,04,GA,GEORGIA,POLIO,0,0
1928,04,IA,IOWA,POLIO,0,0
1928,04,ID,IDAHO,POLIO,0,0
1928,04,IL,ILLINOIS,POLIO,4,0.05
1928,04,IN,INDIANA,POLIO,4,0.12
1928,04,KS,KANSAS,POLIO,0,0
1928,04,KY,KENTUCKY,POLIO,0,0
1928,04,LA,LOUISIANA,POLIO,0,0
1928,04,MA,MASSACHUSETTS,POLIO,1,0.02
1928,04,MD,MARYLAND,POLIO,0,0
1928,04,ME,MAINE,POLIO,0,0
1928,04,MI,MICHIGAN,POLIO,1,0.02
1928,04,MN,MINNESOTA,POLIO,0,0
1928,04,MO,MISSOURI,POLIO,2,0.06
1928,04,MS,MISSISSIPPI,POLIO,0,0
1928,04,MT,MONTANA,POLIO,0,0
1928,04,NC,NORTH CAROLINA,POLIO,0,0
1928,04,ND,NORTH DAKOTA,POLIO,1,0.15
1928,04,NE,NEBRASKA,POLIO,0,0
1928,04,NH,NEW HAMPSHIRE,POLIO,0,0
1928,04,NJ,NEW JERSEY,POLIO,1,0.03
1928,04,NM,NEW MEXICO,POLIO,0,0
1928,04,NY,NEW YORK,POLIO,7,0.06
1928,04,OH,OHIO,POLIO,0,0
1928,04,OK,OKLAHOMA,POLIO,2,0.09
1928,04,OR,OREGON,POLIO,5,0.53
1928,04,PA,PENNSYLVANIA,POLIO,2,0.02
1928,04,RI,RHODE ISLAND,POLIO,0,0
1928,04,SC,SOUTH CAROLINA,POLIO,4,0.23
1928,04,SD,SOUTH DAKOTA,POLIO,0,0
1928,04,TN,TENNESSEE,POLIO,1,0.04
1928,04,TX,TEXAS,POLIO,3,0.05
1928,04,UT,UTAH,POLIO,0,0
1928,04,VT,VERMONT,POLIO,0,0
1928,04,WA,WASHINGTON,POLIO,1,0.06
1928,04,WI,WISCONSIN,POLIO,0,0
1928,04,WV,WEST VIRGINIA,POLIO,2,0.12
1928,04,WY,WYOMING,POLIO,0,0
1928,05,AL,ALABAMA,POLIO,0,0
1928,05,AR,ARKANSAS,POLIO,0,0
1928,05,AZ,ARIZONA,POLIO,1,0.24
1928,05,CA,CALIFORNIA,POLIO,17,0.32
1928,05,CO,COLORADO,POLIO,0,0
1928,05,CT,CONNECTICUT,POLIO,2,0.13
1928,05,DC,DISTRICT OF COLUMBIA,POLIO,0,0
1928,05,DE,DELAWARE,POLIO,0,0
1928,05,FL,FLORIDA,POLIO,0,0
1928,05,GA,GEORGIA,POLIO,0,0
1928,05,IA,IOWA,POLIO,1,0.04
1928,05,ID,IDAHO,POLIO,0,0
1928,05,IL,ILLINOIS,POLIO,3,0.04
1928,05,IN,INDIANA,POLIO,0,0
1928,05,KS,KANSAS,POLIO,0,0
1928,05,KY,KENTUCKY,POLIO,0,0
1928,05,LA,LOUISIANA,POLIO,0,0
1928,05,MA,MASSACHUSETTS,POLIO,1,0.02
1928,05,MD,MARYLAND,POLIO,2,0.12
1928,05,ME,MAINE,POLIO,3,0.38
1928,05,MI,MICHIGAN,POLIO,2,0.04
1928,05,MN,MINNESOTA,POLIO,0,0
1928,05,MO,MISSOURI,POLIO,0,0
1928,05,MS,MISSISSIPPI,POLIO,0,0
1928,05,MT,MONTANA,POLIO,0,0
1928,05,NC,NORTH CAROLINA,POLIO,0,0
1928,05,ND,NORTH DAKOTA,POLIO,0,0
1928,05,NE,NEBRASKA,POLIO,2,0.15
1928,05,NH,NEW HAMPSHIRE,POLIO,0,0
1928,05,NJ,NEW JERSEY,POLIO,1,0.03
1928,05,NM,NEW MEXICO,POLIO,2,0.48
1928,05,NY,NEW YORK,POLIO,8,0.07
1928,05,OH,OHIO,POLIO,2,0.03
1928,05,OK,OKLAHOMA,POLIO,0,0
1928,05,OR,OREGON,POLIO,3,0.32
1928,05,PA,PENNSYLVANIA,POLIO,0,0
1928,05,RI,RHODE ISLAND,POLIO,0,0
1928,05,SC,SOUTH CAROLINA,POLIO,3,0.17
1928,05,SD,SOUTH DAKOTA,POLIO,1,0.15
1928,05,TN,TENNESSEE,POLIO,0,0
1928,05,TX,TEXAS,POLIO,3,0.05
1928,05,UT,UTAH,POLIO,0,0
1928,05,VT,VERMONT,POLIO,0,0
1928,05,WA,WASHINGTON,POLIO,2,0.13
1928,05,WI,WISCONSIN,POLIO,1,0.03
1928,05,WV,WEST VIRGINIA,POLIO,1,0.06
1928,05,WY,WYOMING,POLIO,0,0
1928,06,AL,ALABAMA,POLIO,0,0
1928,06,AR,ARKANSAS,POLIO,0,0
1928,06,AZ,ARIZONA,POLIO,0,0
1928,06,CA,CALIFORNIA,POLIO,12,0.22
1928,06,CO,COLORADO,POLIO,1,0.1
1928,06,CT,CONNECTICUT,POLIO,0,0
1928,06,DC,DISTRICT OF COLUMBIA,POLIO,0,0
1928,06,DE,DELAWARE,POLIO,0,0
1928,06,FL,FLORIDA,POLIO,0,0
1928,06,GA,GEORGIA,POLIO,0,0
1928,06,IA,IOWA,POLIO,0,0
1928,06,IL,ILLINOIS,POLIO,2,0.03
1928,06,IN,INDIANA,POLIO,0,0
1928,06,KS,KANSAS,POLIO,0,0
1928,06,KY,KENTUCKY,POLIO,0,0
